x0,y0,x1,y1,influence,color
-196.52036,-95.45022,-127.57372,-60.307117,-6.0,"rgba(214, 39, 40, 0.3)"
-196.52036,-95.45022,-183.0109,-110.19726,-4.0,"rgba(214, 39, 40, 0.3)"
-196.52036,-95.45022,-172.76709,-36.455032,8.0,"rgba(31, 119, 180, 0.3)"
-196.52036,-95.45022,-101.686104,-20.26913,-4.0,"rgba(214, 39, 40, 0.3)"
-196.52036,-95.45022,-151.7666,-163.8993,-5.75,"rgba(214, 39, 40, 0.3)"
-196.52036,-95.45022,-214.4181,-138.8291,5.5,"rgba(31, 119, 180, 0.3)"
-196.52036,-95.45022,-128.30635,-145.6569,-6.0,"rgba(214, 39, 40, 0.3)"
-196.52036,-95.45022,-239.8921,-128.51259,7.0,"rgba(31, 119, 180, 0.3)"
-196.52036,-95.45022,-176.11249,-177.70094,4.0,"rgba(31, 119, 180, 0.3)"
-196.52036,-95.45022,-164.15318,-106.19687,-10.0,"rgba(214, 39, 40, 0.3)"
-196.52036,-95.45022,-186.70938,-129.05598,19.5,"rgba(31, 119, 180, 0.3)"
-196.52036,-95.45022,-217.18103,-53.281548,-5.0,"rgba(214, 39, 40, 0.3)"
-196.52036,-95.45022,-211.4924,-85.572876,5.25,"rgba(31, 119, 180, 0.3)"
-196.52036,-95.45022,-188.2004,-73.97981,4.0,"rgba(31, 119, 180, 0.3)"
-196.52036,-95.45022,-114.87455,-41.81274,-5.0,"rgba(214, 39, 40, 0.3)"
-196.52036,-95.45022,-171.2433,-118.19353,4.0,"rgba(31, 119, 180, 0.3)"
-196.52036,-95.45022,-109.08602,-88.18872,4.0,"rgba(31, 119, 180, 0.3)"
-196.52036,-95.45022,-204.01045,-130.31418,6.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-104.052505,-64.917206,4.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-153.79953,-67.47362,-5.0,"rgba(214, 39, 40, 0.3)"
-127.57372,-60.307117,-156.14174,-134.67906,-4.0,"rgba(214, 39, 40, 0.3)"
-127.57372,-60.307117,-53.84909,-79.70029,-6.0,"rgba(214, 39, 40, 0.3)"
-127.57372,-60.307117,-128.58014,-101.46902,13.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-92.093834,-145.10529,-9.75,"rgba(214, 39, 40, 0.3)"
-127.57372,-60.307117,-54.530357,-149.17253,5.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-140.31885,-140.74556,-6.0,"rgba(214, 39, 40, 0.3)"
-127.57372,-60.307117,-91.24852,-33.95837,-5.0,"rgba(214, 39, 40, 0.3)"
-127.57372,-60.307117,-92.64918,-54.98551,4.25,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-205.29936,-47.577667,5.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-200.00334,-65.43661,-4.0,"rgba(214, 39, 40, 0.3)"
-127.57372,-60.307117,-38.1417,-66.50739,4.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-112.32087,-23.722107,4.5,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-188.13496,-26.869944,-5.0,"rgba(214, 39, 40, 0.3)"
-127.57372,-60.307117,-76.38661,-45.192802,6.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-114.87455,-41.81274,8.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-110.426994,-146.82512,4.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-168.8718,-9.658426,4.0,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-145.09076,-2.3775296,4.75,"rgba(31, 119, 180, 0.3)"
-127.57372,-60.307117,-109.08602,-88.18872,-4.0,"rgba(214, 39, 40, 0.3)"
-127.57372,-60.307117,-153.39375,-17.023321,5.0,"rgba(31, 119, 180, 0.3)"
-75.24319,-145.65186,-92.093834,-145.10529,11.25,"rgba(31, 119, 180, 0.3)"
-75.24319,-145.65186,-128.58014,-101.46902,4.0,"rgba(31, 119, 180, 0.3)"
-75.24319,-145.65186,-151.7666,-163.8993,3.75,"rgba(31, 119, 180, 0.3)"
-75.24319,-145.65186,-66.73187,-100.08114,4.0,"rgba(31, 119, 180, 0.3)"
-92.093834,-145.10529,-138.45746,-176.08548,7.0,"rgba(31, 119, 180, 0.3)"
-92.093834,-145.10529,-164.90993,-55.44829,-6.0,"rgba(214, 39, 40, 0.3)"
-92.093834,-145.10529,-73.49588,-126.43893,-17.0,"rgba(214, 39, 40, 0.3)"
-92.093834,-145.10529,-123.62647,-167.71144,4.0,"rgba(31, 119, 180, 0.3)"
-92.093834,-145.10529,-73.99613,-154.54454,-6.0,"rgba(214, 39, 40, 0.3)"
-92.093834,-145.10529,-62.00485,-183.4444,4.0,"rgba(31, 119, 180, 0.3)"
-92.093834,-145.10529,-171.81343,-144.14935,13.5,"rgba(31, 119, 180, 0.3)"
-92.093834,-145.10529,-110.84124,-130.28773,4.75,"rgba(31, 119, 180, 0.3)"
-92.093834,-145.10529,-83.91298,-192.82695,5.0,"rgba(31, 119, 180, 0.3)"
-92.093834,-145.10529,-176.11249,-177.70094,-4.0,"rgba(214, 39, 40, 0.3)"
-92.093834,-145.10529,-76.38661,-45.192802,-6.0,"rgba(214, 39, 40, 0.3)"
-92.093834,-145.10529,-211.4924,-85.572876,-4.0,"rgba(214, 39, 40, 0.3)"
-92.093834,-145.10529,-63.6722,-151.10608,6.0,"rgba(31, 119, 180, 0.3)"
-92.093834,-145.10529,-109.08602,-88.18872,5.5,"rgba(31, 119, 180, 0.3)"
-92.093834,-145.10529,-106.51035,-180.83052,-4.0,"rgba(214, 39, 40, 0.3)"
-92.093834,-145.10529,-92.64918,-54.98551,-10.0,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-54.1912,-134.60738,3.75,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-172.76709,-36.455032,4.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-200.00334,-65.43661,4.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-73.49588,-126.43893,6.5,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-43.271255,-150.09036,4.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-151.7666,-163.8993,3.75,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-171.81343,-144.14935,10.5,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-110.84124,-130.28773,-4.0,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-176.79291,-75.30071,-4.75,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-214.4181,-138.8291,6.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-70.30663,-57.175102,4.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-73.99613,-154.54454,-7.0,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-53.84909,-79.70029,-9.0,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-184.81535,-156.0767,10.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-175.24857,-102.283615,-5.0,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-114.87455,-41.81274,5.5,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-171.2433,-118.19353,-5.0,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-182.01454,-60.39977,8.5,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-149.19824,-49.638115,-4.0,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-90.761856,-86.92836,-4.0,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-205.29936,-47.577667,-5.25,"rgba(214, 39, 40, 0.3)"
-128.58014,-101.46902,-103.06737,-167.77542,4.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-211.4924,-85.572876,4.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-188.2004,-73.97981,8.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-132.62785,-25.311127,4.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-42.78029,-133.40608,4.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-109.08602,-88.18872,5.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-123.62647,-167.71144,9.0,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-92.64918,-54.98551,9.5,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-213.85544,-101.50167,3.75,"rgba(31, 119, 180, 0.3)"
-128.58014,-101.46902,-84.105644,-114.85921,4.5,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-138.45746,-176.08548,12.5,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-123.15391,-125.89968,6.0,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-169.88733,-164.76266,4.5,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-91.81441,-181.38875,10.0,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-156.14174,-134.67906,5.0,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-204.01045,-130.31418,-7.75,"rgba(214, 39, 40, 0.3)"
-151.7666,-163.8993,-177.88292,-189.99843,6.0,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-110.84124,-130.28773,-5.0,"rgba(214, 39, 40, 0.3)"
-151.7666,-163.8993,-83.91298,-192.82695,11.0,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-86.15698,-164.24432,21.25,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-192.54527,-183.18443,-7.0,"rgba(214, 39, 40, 0.3)"
-151.7666,-163.8993,-186.70938,-129.05598,8.0,"rgba(31, 119, 180, 0.3)"
-151.7666,-163.8993,-184.81535,-156.0767,7.75,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-104.052505,-64.917206,7.0,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-138.45746,-176.08548,4.0,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-79.92674,-72.76984,17.25,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-101.686104,-20.26913,5.0,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-73.49588,-126.43893,4.5,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-143.59209,-110.705284,6.5,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-38.1417,-66.50739,6.5,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-53.84909,-79.70029,-4.25,"rgba(214, 39, 40, 0.3)"
-66.73187,-100.08114,-36.311,-90.812195,8.0,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-164.15318,-106.19687,-11.0,"rgba(214, 39, 40, 0.3)"
-66.73187,-100.08114,-114.87455,-41.81274,7.0,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-153.42534,-79.72359,-6.0,"rgba(214, 39, 40, 0.3)"
-66.73187,-100.08114,-110.426994,-146.82512,5.0,"rgba(31, 119, 180, 0.3)"
-66.73187,-100.08114,-91.24852,-33.95837,-4.0,"rgba(214, 39, 40, 0.3)"
