year artensterben bienensterben insektensterben waldsterben
1990 12 0 0 103
1991 11 0 0 52
1992 31 0 0 154
1993 21 0 0 109
1994 8 3 0 123
1995 26 0 0 100
1996 38 0 0 124
1997 23 0 0 74
1998 19 0 0 50
1999 27 0 0 57
2000 29 0 1 37
2001 22 0 0 40
2002 39 0 0 30
2003 8 13 0 53
2004 27 9 0 75
2005 22 3 0 41
2006 32 2 0 53
2007 69 67 0 49
2008 63 40 1 28
2009 31 10 0 26
2010 51 20 0 26
2011 39 23 0 35
2012 44 17 0 15
2013 21 56 0 34
2014 41 24 0 32
2015 66 27 0 50
2016 41 22 8 41
2017 74 50 87 39
2018 127 102 165 32
2019 332 47 155 108
2020 168 20 78 57
