year	Bild	FAZ	Plenardebatten	SZ	Spiegel	ZEIT	taz
1990.0	58	1891	1024	0	666	845	4122
1991.0	58	1729	880	0	564	749	2925
1992.0	52	1640	873	5587	637	837	3663
1993.0	69	1689	1177	5713	541	783	3998
1994.0	80	1752	757	5640	634	13	4259
1995.0	94	1898	1274	6086	681	934	4273
1996.0	90	1840	1207	5294	639	853	3868
1997.0	175	1854	953	4910	593	735	3774
1998.0	268	2211	803	5617	623	768	3873
1999.0	376	2368	1120	5946	613	293	3725
2000.0	290	2423	1356	4486	600	439	3668
2001.0	251	2491	1174	4429	587	756	3861
2002.0	203	1886	900	3693	511	716	3727
2003.0	101	2014	831	2985	421	789	3486
2004.0	134	1984	905	3164	447	767	4152
2005.0	125	2338	640	3708	500	719	4230
2006.0	145	2209	996	3684	541	1057	4108
2007.0	347	2695	1220	4838	618	1431	4990
2008.0	214	2654	1283	4601	599	1291	4365
2009.0	147	2418	1082	4142	538	737	4253
2010.0	195	2729	1656	4957	608	813	4406
2011.0	299	3407	1603	5091	670	1040	4911
2012.0	134	2678	1694	4222	566	807	4230
2013.0	211	2877	1142	3596	587	830	4067
2014.0	135	2356	1402	3647	580	723	3511
2015.0	142	2405	1318	3980	510	911	3440
2016.0	125	2537	1186	4020	552	816	3291
2017.0	224	2779	785	4168	645	927	3367
2018.0	217	2956	1718	4252	630	1013	3160
2019.0	367	3820	2179	5435	807	1233	4413
2020.0	187	3205	1861	4042	738	1054	3473
